t,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6
0.874204,-0.098992905,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.400488400,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.879290,-0.098992905,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.400488400,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.884924,-0.105477989,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.396581197,-0.001953602,-0.001953602,-0.007326007,-0.021978022,-0.007326007
0.890074,-0.105477989,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.396581197,-0.001953602,-0.001953602,-0.007326007,-0.021978022,-0.007326007
0.896456,-0.113107500,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.435653236,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.901661,-0.113107500,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.435653236,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.906869,-0.113107500,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.435653236,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.912737,-0.119974060,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.423931624,-0.001953602,0.001953602,-0.021978022,-0.007326007,-0.007326007
0.917922,-0.119974060,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.423931624,-0.001953602,0.001953602,-0.021978022,-0.007326007,-0.007326007
0.923238,-0.119974060,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.423931624,-0.001953602,0.001953602,-0.021978022,-0.007326007,-0.007326007
0.929025,-0.129510948,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.451282051,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.934261,-0.129510948,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.451282051,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.939393,-0.129510948,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.451282051,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.945214,-0.137521935,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.431746032,-0.001953602,-0.001953602,-0.007326007,0.007326007,0.007326007
0.950364,-0.137521935,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.431746032,-0.001953602,-0.001953602,-0.007326007,0.007326007,0.007326007
0.956213,-0.145532921,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.451282051,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.961360,-0.145532921,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.451282051,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.966584,-0.145532921,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.451282051,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.972817,-0.154306859,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.443467643,-0.001953602,-0.001953602,-0.007326007,0.007326007,0.007326007
0.978078,-0.154306859,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.443467643,-0.001953602,-0.001953602,-0.007326007,0.007326007,0.007326007
0.983367,-0.161936370,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.459096459,0.001953602,0.001953602,-0.021978022,-0.021978022,-0.007326007
0.989699,-0.161936370,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.459096459,0.001953602,0.001953602,-0.021978022,-0.021978022,-0.007326007
0.994836,-0.161936370,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.459096459,0.001953602,0.001953602,-0.021978022,-0.021978022,-0.007326007
1.000515,-0.169947356,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.451282051,0.001953602,0.001953602,-0.007326007,0.007326007,0.021978022
